,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1244774189120307201,2020-03-30 23:51:08+00:00,CNN,"Portugal has temporarily given all migrants and asylum seekers full citizenship rights, granting them full access to the country's healthcare as the outbreak of the novel coronavirus escalates in the country https://t.co/Zh2dLJnibx","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",15429,245,3869
1,1244768621248856064,2020-03-30 23:29:00+00:00,KamalaHarris,Testing for coronavirus AND treatment needs to be free. Period.,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",115494,4740,17135
2,1244767337099624448,2020-03-30 23:23:54+00:00,Swamy39,Noted that last night has decided to convert JLN stadium into a hospital for COVID-19 suspects. This was a suggestion I made in my article in Sunday Guardian,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",18943,489,2501
3,1244765096284479496,2020-03-30 23:15:00+00:00,JoeBiden,This is unconscionable. Americans are already afraid of the impact the deadly COVID-19 pandemic is having on their lives — they don't need the added stress of losing their health insurance. Drop the lawsuit. https://t.co/VyN90rluy9,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",26144,1687,10036
4,1244763806850592769,2020-03-30 23:09:52+00:00,DonaldJTrumpJr,"The same media hacks declaring that the US has the highest amount of coronavirus cases in the world, are the same losers insisting we haven’t done the most amount of tests in the world.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36045,6403,6848
5,1244763019898286080,2020-03-30 23:06:45+00:00,BleacherReport,"NCAA has granted spring-sport athletes an extra year of eligibility in response to the coronavirus pandemic, but athletes from winter sports will not receive an extra year https://t.co/ryxhUgzNFY","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6701,73,1215
6,1244761657114591234,2020-03-30 23:01:20+00:00,CBSNews,"CBS News obtained audio of a call Monday between Pres. Trump and rural state governors about coronavirus. After Montana Gov. Steve Bullock discusses difficulty getting testing equipment, Trump says, ""I haven't heard anything about testing being a problem"" https://t.co/ScO2YbKZAq https://t.co/YhFPpw7Gni","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",11974,1146,8180
7,1244759695291813891,2020-03-30 22:53:32+00:00,ShamsCharania,The NCAA has decided not to grant athletes from winter sports (including basketball) an extra year of eligibility due to coronavirus pandemic. Spring sport athletes were granted extra year.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",8438,548,2214
8,1244758025677701124,2020-03-30 22:46:54+00:00,IvankaTrump,"Effective immediately, Brooks Brothers will produce 150,000 masks per day to protect those on the frontlines battling the spread of #COVID19. 

Thank you Claudio DelVecchio for answering the @WhiteHouse’s call to action! 

https://t.co/ifl2LY5WqS","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",39157,2207,6346
9,1244757876108857349,2020-03-30 22:46:18+00:00,RepAdamSchiff,"A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to account.

But local papers are being stretched by the coronavirus crisis.

If you can, this is a great time to subscribe and support your local papers.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",23803,1797,5822
10,1244755729233387522,2020-03-30 22:37:46+00:00,kerpen,Dad went home today... crushed coronavirus even though he is 75 and has limited lung function... the greatest! #PistolPete https://t.co/43bwDWrFVx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",42179,1699,4962
11,1244755409396695041,2020-03-30 22:36:30+00:00,BillOReilly,"Another embarrassing CNN exposition at the pandemic press conference just moments ago. President Trump insulted the CNN correspondent. AT&amp;T, which now owns CNN, should really explain the overt hostility towards Mr. Trump.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",17302,1232,3369
12,1244754120621404167,2020-03-30 22:31:23+00:00,CAPAction,"TRUMP TODAY: “We're doing a great job, as good a job as you can possibly do.""

REALITY: The United States has MORE confirmed coronavirus cases than anywhere else in the world because of Trump’s incompetent, chaotic response. His failures are costing lives. https://t.co/KR54MrK3W3","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",9192,423,5509
13,1244753668542550017,2020-03-30 22:29:35+00:00,mmpadellan,"OK, who had the My Pillow guy appearing in a ""coronavirus briefing"" on their crazy BINGO card?

No you didn't. Stop.
This is insanity.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",26068,1105,4159
14,1244753582689312771,2020-03-30 22:29:15+00:00,DavidLat,"Thanks to all the media outlets who have reached out with interview requests - I’m normally delighted to speak with journalists, but right now I’m trying to let my vocal cords heal after 6 days on a ventilator. #Coronavirus #CoronaUpdate #COVID19 #covid_19 #CoronavirusUSA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34091,746,2231
15,1244753135622590464,2020-03-30 22:27:28+00:00,ScottGottliebMD,"#COVID19 won't go away. It'll infect the southern hemisphere as they winter and will want to come back to U.S. in fall. But we'll have a massive surveillance system by then, and I believe more than one drug to both prevent and treat infection. Our tool box will be very different.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",17239,619,3009
16,1244751326346645507,2020-03-30 22:20:17+00:00,AyannaPressley,"Democratic lawmakers, including Warren and Pressley, call for racial data in coronavirus testing https://t.co/uHOI1I0Saa","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",8292,294,1804
17,1244750654620479491,2020-03-30 22:17:37+00:00,tomphillipsin,"One day, once all this is over, historians and sociologists around the world will wonder why a man dressed as a donkey was summoned on stage tonight to ask God to help Jair Bolsonaro do battle with coronavirus, as Brazil’s president listened in on the other end of the line https://t.co/OENAvifSvv","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10561,683,3120
