,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1519979264736514048,2022-04-29 09:57:51+00:00,rameshlaus,"At the #UK 🇬🇧 Box Office, #KGFChapter2 has crossed £ 1 Million..

Huge achievement! 👏","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4172,10,342
1,1519917906196189184,2022-04-29 05:54:02+00:00,Jingjing_Li,"It's 2022 now, not 1840.🙄️
#UK https://t.co/7AHRigNpS9","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",641,58,133
2,1519729657469456391,2022-04-28 17:26:00+00:00,BBhuttoZardari,"Thank you, State Minister FCO @Tariqahmadbt for felicitations. 

➖#UK and #Pakistan bilateral relations are based on shared history and diaspora . 

➖Looking forward to working with you for strengthening of this important multi-faceted partnership.

🇵🇰🤝🇬🇧 https://t.co/06AdUHr0Ba","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1031,122,490
3,1519660897085665281,2022-04-28 12:52:46+00:00,ignaziocassis,A great honour to meet Her Majesty The Queen 🇬🇧 This sign of friendship between our countries symbolises the close and long-standing ties between #Switzerland and the #UK. My best wishes for the Platinum Jubilee year! https://t.co/MjP72B8JL2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2247,51,239
4,1519628006389649409,2022-04-28 10:42:04+00:00,AdoptionsUk,"URGENT, please retweet to help Prince find a home #KENT #UK 
Aged 6, found abandoned in a park, very neglected condition, starved. Understandably shut down, looking for a patient adult home as the only pet
PLEASE SHARE 💔

DETAILS👇
https://t.co/vqTEP4PFUi
#dogs #dogsoftwitter https://t.co/Ja2WP49Bel","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",364,8,505
5,1519369880616804352,2022-04-27 17:36:22+00:00,AdoptionsUk,"Please retweet, another poor dog found tied to a lamp post 27 April 22, #BarleyMow #CountyDurham 

Now taken to the council pound, Cleadon Kennels for 7 days - contact 0191529236
https://t.co/Oh6uiXzbP4
#dogs #dogsoftwitter #pets #animals #UK https://t.co/36pxkdnAGt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",758,81,1075
6,1519303051760263170,2022-04-27 13:10:49+00:00,coshgirl,"Just spent the best part of 2 hours on the phone booking rail tickets for 2 separate return journeys. Why? Because I also wanted to book spaces for 2 bicycles and for some reason, this cannot be done online. Surely we can do better than this in the 21st century? #FFS #trains #UK","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",340,32,24
7,1519292813493432320,2022-04-27 12:30:08+00:00,quakes99,Yee-Haw!🤠🐂 Newly re-branded @Sprott #Uranium Miners ETF $URNM to be listed in #Europe on London Stock Exchange🇬🇧 to provide #UK &amp; #EU investors with exposure to growing #Nuclear #Energy sector⚛️⛏️ the 2nd major Uranium ETF launch in Europe this week!🏄‍♂️  https://t.co/v30CT5AQql,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",382,24,49
8,1519219576952737792,2022-04-27 07:39:07+00:00,AdoptionsUk,"Please retweet, did you buy a #Rottweiler puppy end of March- April 2022 in the Liverpool area?  #UK 

This poor pup passed away 6 days after he was picked up. He had parvovirus.
The owners want to find the buyers of siblings to track down the breeder. 
Contact @JusticeforRegg1 https://t.co/lFZAODln5f","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",274,23,448
9,1519067944793346048,2022-04-26 21:36:35+00:00,AdoptionsUk,"Tear Jerker, please retweet to help Denzel find a home #CHELTENHAM #UK 

Denzel was found tied to a pole. He has not had any socialisation and is now very shut down. He is looking for a special adult home, he may be able to live with another dog.
DETAILS
https://t.co/xwVacoDnm8 https://t.co/A748u9lbTd","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",256,15,391
10,1518945491383459842,2022-04-26 13:30:00+00:00,AdoptionsUk,"Please retweet to help this dog get home #UK

This beautiful German Shepherd was found on the streets in #Stevenage  
She is now safe in a caring home having been saved from the pound but her current carer feels she wants to go home. Do you recognise her?
https://t.co/GQITx2xUEf https://t.co/6Fl6pFtrcl","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",221,11,349
11,1518842310661914624,2022-04-26 06:40:00+00:00,AdoptionsUk,"Tear Jerker, please retweet to help Denzel find a home #CHELTENHAM #UK 

Denzel was found tied to a pole. He has not had any socialisation and is now very shut down. He is looking for a special adult home, he may be able to live with another dog.
DETAILS
https://t.co/xwVacoDnm8 https://t.co/tGLN1lkG8H","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",284,18,444
12,1518650584324349953,2022-04-25 17:58:09+00:00,AdoptionsUk,Do you think we need more bins for dog bags ?  #UK https://t.co/MoMtmKspNC,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",312,48,104
13,1518642228142432265,2022-04-25 17:24:56+00:00,RussianEmbassy,"FM #Lavrov: #US, #UK &amp; other Western states have a very interesting habit: they just throw in news when they believe it’ll work ideologically for their benefit, and then, when #facts are discovered questioning their assertions, they just lose interest.

🎙️https://t.co/8ToCNFqzut https://t.co/YBlqrRvmH5","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",482,225,165
14,1518512551742652417,2022-04-25 08:49:39+00:00,AdoptionsUk,"Tear Jerker, please retweet to help Denzel find a home #CHELTENHAM #UK 

Denzel was found tied to a pole. He has not had any socialisation and is now very shut down. He is looking for a special adult home, he may be able to live with another dog.
DETAILS
https://t.co/xwVacoDnm8 https://t.co/owAs5bzeIZ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",495,33,742
15,1518493429554049024,2022-04-25 07:33:40+00:00,IoriTosa2,"📷 © Mads Peter Iversen

United Kingdom

#LandscapePhotography #NaturePhotography #UK 
. https://t.co/wcqIWnRaKf","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1501,18,309
16,1518298647355707398,2022-04-24 18:39:40+00:00,ChillaxBcn,"Hello @BorisJohnson &amp; @Nigel_Farage have you congratulated your favourite #LePen on her big fat election loss in #France yet? 

And your dream of the #EU collapsing won't now happen either. 

And your #Brexit will eventually fail and the #UK will rejoin the #EU one day. 

🇫🇷❤️🇪🇺","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",266,17,61
17,1518231791655657473,2022-04-24 14:14:01+00:00,AdoptionsUk,"A rescue messaged me this week and said this is the busiest they have ever been and they are now totally full with a waiting list. 
Another one said they had waiting lists for people wanting give up cats and rabbits 
There must be a solution but who will act, MPs?🤷‍♀️
#dogs #UK https://t.co/dCarHJxHmi","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",667,38,582
18,1518152766866305026,2022-04-24 09:00:00+00:00,AdoptionsUk,"Please retweet to help Rex find a home #CHESHIRE #UK 

Aged 3, Rex was an unclaimed stray possibly due to his hip dysplasia. He is nervous, patricianly of men.
Please contact the shelter directly if you would like more details
 
DETAILS or APPLY👇
https://t.co/CvvvhFvyIa
#dogs https://t.co/8MxmiSvbl1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",287,7,402
19,1518035199279329280,2022-04-24 01:12:49+00:00,Savannahbardot,"GIRLS CLUB 

……more
🔗 https://t.co/L664ekaJft

📷 #London #uk #streetwalker #photo https://t.co/ltuVhFjQpk","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1356,162,75
20,1517961861429407744,2022-04-23 20:21:24+00:00,BahrainEmbUK,"The Ambassador of the Kingdom of #Bahrain to the #UK H.E. Sh. @fawaz_alkhalifa attends #Bahraini 🇧🇭 owned @LaticsOfficial's final home match of the season alongside @TalalAlHammad32, Chairman of Wigan Athletic FC 🔵⚪️

#wafc #BELIEVE https://t.co/9wNlWZgYCz","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",337,10,23
21,1517798619344211968,2022-04-23 09:32:44+00:00,IFEX,"19 free expression groups call on the #UK Home Secretary @pritipatel to honour her govt's commitment to upholding press freedom and reject the extradition to the US of @wikileaks founder Julian Assange. #FreeAssange 
https://t.co/yMaYgF0ke6 @StellaMoris1 @DefendAssange","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",438,10,277
22,1517751372078215168,2022-04-23 06:25:00+00:00,AdoptionsUk,"Please retweet to help Luna find a home #LEEDS #UK 

Aged 2, looking for an active adult home as the only pet. She would like to meet you a few times before going home. Please share. Black dogs are often overlooked. 
DETAILS👇
https://t.co/ClwPl4iRzS #dogs #DogsofTwittter https://t.co/YftYtu7F7R","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",376,4,496
23,1517624378527481856,2022-04-22 22:00:22+00:00,MelissiaHanse12,"Family 

#cute #pug #dogs #USA #love #UK #Twitter #Viral https://t.co/OQzKY4leVe","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1122,25,79
24,1517564503730364419,2022-04-22 18:02:27+00:00,Mike_Fabricant,Such good news that the #UK Embassy in #Kyiv will reopen next week and that the government will send tanks to support #Poland in return for them sending their #Russian-made tanks to #Ukraine🇬🇧🇺🇦🇵🇱,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",570,113,64
25,1517523253153386499,2022-04-22 15:18:32+00:00,Ayngaran_offl,"Check #UK #Beast Tamil &amp; Hindi Showtimes.
Blockbuster 2ndWeek.  Get your tickets Children are allowed. #BeastBlockbusterHit 🔥🎉

@actorvijay @sunpictures @Nelsondilpkumar 
@anirudhofficial @hegdepooja @selvaraghavan 
@manojdft @Nirmalcuts @karan_ayngaran https://t.co/7ZNIzsGM4b","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1181,2,470
26,1517501412355506177,2022-04-22 13:51:45+00:00,Sam_Jonvik2,"#UK premieres telugu movies

#Acharya -- £105,330 premiers 
#Akhanda -  £102,430 closing

Premiers tho closing lechindi...💥💥","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1960,44,539
27,1517480738484015106,2022-04-22 12:29:36+00:00,aharring,"Jeremy Corbyn is the sole reason I became interested in #UK politics He represents hope not just for UK but for it’s immediate neighbours &amp; imo, the world. Success of empathetic politics in UK would have been a global game changer #IAdmireJeremyCorbyn","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",994,24,252
28,1517472936214548480,2022-04-22 11:58:35+00:00,THEPANIPURI,"Top #Telugu Grossers in #UK🇬🇧

👉#Baahubali2 - £1,005,680
👉#RRR - £950,656
👉#Baahubali - £310,850
👉#Sahoo - £293,094
👉#RadheShyam - £205,965
👉#Pushpa- £161,351
👉#BheemlaNayak- £151,600
👉#AlaVaikunthapurramuloo- £119,565
👉#Acharya- £105,330(Premieres)
👉#Akhanda- £102,430","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",630,16,204
29,1517467983874039811,2022-04-22 11:38:55+00:00,AdoptionsUk,"Please retweet to help this dog get home #UK

This beautiful German Shepherd was found on the streets in #Stevenage  
She is now safe in a caring home having been saved from the pound but her current carer feels she wants to go home. Do you recognise her?
https://t.co/r0SeeIvbuE https://t.co/WvReytAE1J","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",798,14,1051
30,1517445470334992390,2022-04-22 10:09:27+00:00,AdoptionsUk,"Sad update 💙 This week I shared an abandoned, neglected dog in #Dagenham #UK 

The shelter that took him in did what they could and he passed away knowing he was safe.  
Please contact your MP and ask for pet selling sites to be banned. Dogs are used for breeding then abandoned https://t.co/J0gIiHVIR1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",655,152,420
31,1517435872832102401,2022-04-22 09:31:19+00:00,DavidHuntFCDO,What an incredible week! A real privilege to play a part in the visit of @masrour_barzani to the UK. It reaffirmed the strength of the #UK/#KRI relationship and has set an ambitious agenda for our future cooperation. https://t.co/HRT2mhk1bh,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",345,30,47
32,1517203780172931074,2022-04-21 18:09:04+00:00,RussianEmbassy,"MFA spox #Zakharova: Unlike Ukrainian fighters who brutally kill prisoners and torture civilians, Russian Armed Forces are committed to humanitarian law. If there were no media #censorship in #UK, everyone there would know this. https://t.co/xGp2USJJH0","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1076,348,401
33,1517175471502671877,2022-04-21 16:16:34+00:00,rameshlaus,"#KGFChapter2 (Tamil) becomes the first Tamil movie to release in #IMAX format in #UK 🇬🇧 

Releasing in IMAX at 11 Locations from 22nd April. 
#KGF2 

https://t.co/5KRI2BflID","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3881,13,457
34,1517167524965601281,2022-04-21 15:45:00+00:00,AdoptionsUk,"Please retweet to help Lina find a home #KENT #UK 

Aged 1, Lina was found in starved and beaten state. She is looking for a loving adult home as the only pet. Please share?🙏

DETAILS or APPLY👇
https://t.co/isJIm3vqqy
#dogs #DogsofTwittter #pets #animals #AdoptDontShop #Easter https://t.co/i5yB0RQTHS","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",337,24,492
35,1517145220105658368,2022-04-21 14:16:22+00:00,AdoptionsUk,"Please retweet, another dog has been found abandoned, tied to a gate in #KENT #UK

He was stressed but is in safe hands now. 
If anyone recognises him, please DM me. 
#dogs #pets #animals @dogslost @MissingPetsGB https://t.co/vwuTurL4n7","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1026,60,1307
36,1517132720509308930,2022-04-21 13:26:42+00:00,AdoptionsUk,"URGENT, please retweet to help Prince find a home #KENT #UK 
Aged 6, found abandoned in a park, very neglected condition, starved. Understandably shut down, looking for a patient adult home as the only pet
PLEASE SHARE 💔

DETAILS👇
https://t.co/vqTEP4y4vI
#dogs #dogsoftwitter https://t.co/SQg3AKF0As","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",436,10,603
37,1517022797574324225,2022-04-21 06:09:54+00:00,nexta_tv,"The permanent members of the #UN Security Council (#Russia, #China, #UK, #USA, #France) may form the basis of guarantor states for #Ukraine.

This issue is being discussed at the negotiations, said Aleksey Polishchuk from the CIS Department of Russia's Foreign Ministry. https://t.co/qBRfy1mkKS","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",657,105,86
