,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1432273826595880965,2021-08-30 09:27:45+00:00,AdoptionsUk,"Please retweet, I see @HopeRescue a small rescue, no TV adverts, based in South Wales have 40 dogs available on their website for adoption today whereas @Battersea_ have just 12 dogs for adoption on theirs. Why still so few dogs @Battersea_?  #dogs #UK https://t.co/YtBBsfgyvm","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",253,6,389
1,1432230889673482245,2021-08-30 06:37:08+00:00,arsched,"Amid C-130Js' help in #Afghanistan evacuations, #India’s 
#IAF signed $328 mn deal with US. What did #Pakistan get for hosting #US #UK, #NATO troops? Red list of #UK? Ban on #PIA by #EU? Did anyone negotiate on behalf of #Pakistanis or got money for offshore accounts? https://t.co/S9mctVgrku","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3123,385,858
2,1431678804955697153,2021-08-28 18:03:21+00:00,PPaulCharles,"Good news for #UK visitors to #Italy (at the end of the key summer season!) - the 5-day quarantine is removed from Tuesday for those who are fully-jabbed and who also show a negative PCR test on arrival. @ThePCAgency 

https://t.co/TEnnATF1fL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",326,49,49
3,1431386930537717761,2021-08-27 22:43:32+00:00,augustineihm,I purchased my first ever #Kettle &amp; @YorkshireTea today. Bye Bye Microwave! I’m feeling a little more British. #uk @churchofengland @DioManchester @stjamesemmanuel @onetribetalent2 https://t.co/ezW4gOXDBR,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",379,22,4
4,1430901726417068037,2021-08-26 14:35:31+00:00,Fereeha,"My sister is suffering from #covid19 in #UK. When her oxygen levels went down, she had to go in emergency.They made her wait in a cold outdoor place; no comfortable place to sit for 6 to 7 hours. Many other patients were waiting in ambulance. She said she wishes she was in Pak.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2990,255,563
5,1430835978843811841,2021-08-26 10:14:15+00:00,IoriTosa2,"© Scott Dennis

London, United Kingdom

#streetphotography #streetphoto #London #UK 
. https://t.co/1wuLLjqoNk","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",301,4,65
6,1430480441899900935,2021-08-25 10:41:29+00:00,nabihbulos,"#Taliban Red Unit is securing one of the gates of #Kabul airport, meters (&amp; a barrier) away from #US #UK #Belgium #Germany troops involved in #Afghanistan airlift. https://t.co/3N2rihmpPG","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1265,91,610
7,1430450407730565126,2021-08-25 08:42:08+00:00,wallacemick,"'In 1978, a Liberation Movement overthrew the dictatorship...by late 80's, half the University students were women, + women made up 40% of Afghans doctors, 70% of its teachers + 30% of its Civil Servants' - #Afghanistan had won its freedom - which the #US #UK + Allies destroyed.. https://t.co/x8EcLrkvMq","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",445,14,226
8,1430447365664780288,2021-08-25 08:30:03+00:00,AdoptionsUk,"Please retweet to help Wilson find a home #DEVON #England 
Lovely Labrador Cross aged 1-2, playful, loves walks, good in the car, looking for an EXPERIENCED adult home to go on with training as the only pet
DETAILS or APPLY👇
https://t.co/dCYKKXLJ2a
#dogs #pets #labrador  #UK https://t.co/JrfXc2Wne2","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",228,9,369
9,1430153047968305155,2021-08-24 13:00:32+00:00,DrNighatArif,"As a child #immigrant to #UK I thank the place I call home for giving me so much-so that I can give back more.

I am so proud to work as an #NHSGP, working through the pandemic &amp; educating where I possibly can. 

Immigration &amp; refugees enrich the UK &amp; make this country great 💕 https://t.co/dYOqmOEnUd","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",634,15,39
