,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1564699177216622593,2022-08-30 19:38:49+00:00,AdoptionsUk,"Please retweet to help Buddy find a home #ESSEX #UK 

Lovely Jack Russell aged 7, looking for a quiet, adult home as the only pet. 

DETAILS or APPLY👇
https://t.co/wvCUCeuQHu…
#dogs #pets #animals https://t.co/3DRJLtzFl1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",402,4,638
1,1564679507319160840,2022-08-30 18:20:39+00:00,AdoptionsUk,"Please retweet to help Brian find a home #FROME #SOMERSET  #UK 
Bouncy Bulldog pup aged 6 months. He would benefit from living with another calm dog and can live with older children. Please contact the shelter for more info. 
DETAILS 👇
https://t.co/gHs17aFVhb
#dogs #Bulldogs https://t.co/nZGJ93BF1G","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",264,4,452
2,1564670064938422277,2022-08-30 17:43:08+00:00,AdoptionsUk,"Happy news!!! Simmi, stolen from her garden in Romford in July has been found!! #UK 
😀😀😀😀😀😀😀😀😀😀😀
She's was running on the M1 for 10 days before she was caught. 
The dog thieves shown have not been caught. 
Do you recognise them? 
DETAILS
https://t.co/DBsWMHVdLY
#dogs https://t.co/L0s8xH9Qra","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1012,43,701
3,1564616706609352715,2022-08-30 14:11:06+00:00,AdoptionsUk,"Please retweet to help FIND THE OWNER of this dog found near #HillingdonHospital #UXBRIDGE #LONDON 

Tues 30 August, now with the dog warden. He/she could be missing from another region, please share widely. 
CONTACT 
https://t.co/qBrtsjCZG6
#dogs #pets  #UK @MissingPetsGB https://t.co/IR141vUaxG","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",831,55,1871
4,1564569659176787968,2022-08-30 11:04:09+00:00,arsched,#France abolished the #SeditionAct at time of #FrenchRevolution; #UnitedStates in 1801; #UK in 2009; #Indian Supreme Court stopped its usage.The 13th century law which penalised criticism of the King is used in #Pakistan as a colonial legacy.Time to abolish the colonial legacy https://t.co/ST1Ym3YeIB,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",9671,190,4217
5,1564274328035885056,2022-08-29 15:30:37+00:00,NeaminZeleke,The mercenary who works in tandem with #TPLF #OLA   &amp; other foreign powers to destabilize is going to be on @BBC. Let' take time to flood the @BBCNews   to debunk lies &amp; deceptions. I hope Embassy &amp; Ethiopians in #UK demand airtime to do the rebuttal &amp; get the record straight. https://t.co/kvyisttQg1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",565,36,527
6,1564266623048945664,2022-08-29 15:00:00+00:00,AdoptionsUk,"Please retweet to help Stormy find a home #ESSEX #UK 

Aged 9, she is looking for a home as the only pet with any children aged 9+. 
DETAILS or APPLY👇
https://t.co/6j9xoSZ5mG…
#dogs #DogsOnTwitter  #AdoptDontShop https://t.co/anwj6GpAJS","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",336,3,578
7,1564246490314248192,2022-08-29 13:40:00+00:00,AdoptionsUk,"Please retweet to help Jake find a home #KENT #UK 

Beautiful Beagle aged 6, sadly in his past he has been hit and kicked. He is looking for a home with the time and experience he needs. He gets on with other dogs 
DETAILS 
https://t.co/isJIm3vqqy
#Beagle #dogs #bankholiday https://t.co/w3YP7UwsrU","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",314,4,537
8,1564221324498714624,2022-08-29 12:00:00+00:00,AdoptionsUk,"Please retweet to help Maggie find a home #DURHAM #UK 

Beautiful Labrador aged 4, she may be able to live with children, cats and dogs 😀😺🐶✅

DETAILS or APPLY👇
https://t.co/x5VB9e4pY1…

#dogs #Labradors #pets #animals #AdoptDontShop https://t.co/JFPpvZlaBl","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",374,4,594
9,1564135234723004416,2022-08-29 06:17:54+00:00,AdoptionsUk,"Please retweet to HELP FIND THE OWNER of this stray dog found 28 August #MINSTEAD #HAMPSHIRE #UK 

No other information available at the moment, possibly could have been stolen and dumped, please share widely. 

CONTACT👇
https://t.co/m1Y8ncjGdy
#dogs #BankHolidayMonday #pets https://t.co/Pq4e3SigMJ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",523,65,1159
10,1564134502506680322,2022-08-29 06:15:00+00:00,AdoptionsUk,"Please retweet to help Buddy find a home #ESSEX #UK 

Lovely Jack Russell aged 7, looking for a quiet, adult home as the only pet. 

DETAILS or APPLY👇
https://t.co/wvCUCeuQHu…
#dogs #pets #animals https://t.co/coT6UojtIS","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",292,2,523
11,1564002826228998145,2022-08-28 21:31:46+00:00,haIseylq,"Halsey performing tonight at the Reading Festival #LoveandPowerTour #UK

📸: seanejaywells on ig https://t.co/foWLx9EeGw","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",387,0,37
