,Unnamed: 0,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,0,1.20E+18,29-11-2019,GuzKhanOfficial,"Massive love to my family there @tezilyas @Duaa_A_Karim and the amazing @rts_mids for always keeping it real.

All jokes aside I couldn’t be there tonight as my little guy is in hospital very unwell at the moment. 

He’s being cared for by our @NHSuk staff who’ve been amazing. 💚 https://t.co/4yEX1uxFCf","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",619,54,57
1,1,1.20E+18,29-11-2019,bungcar_delta,Too many Lancers https://t.co/BE80NeINpI,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1197,4,306
2,2,1.20E+18,29-11-2019,toluogunlesi,"2nd Niger Bridge: 

Connecting Oko Amakom in Asaba, Delta State with Atani community in Onitsha, Anambra State, across River Niger 

11.9km, comprising 1.6km bridge &amp; 10.3km six-lane highway (at both ends)

40% completed, according to @nsia_nigeria

Scheduled for completion 2022","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",172,8,65
3,3,1.20E+18,29-11-2019,PhiliseaM,"There are a lot of Delta women supporting Kamala Harris, an AKA. Last week it was @RepMarciaFudge @thesherylralph &amp; ⁦@RepLawrence⁩. This week it’s ⁦@lucymcbath⁩, and as a Delta Women I can tell you 🗣🗣🗣 WE MAKE HISTORY HAPPEN!!!  https://t.co/z2wnBxnWrl","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",127,3,55
4,4,1.20E+18,29-11-2019,Erdayastronaut,"Today through Monday night, not only do you get 15% off everything in the store, but if you get my new shirt “Ode to Delta II” you ALSO get a free print!!! I feel like this would be a good shirt for @torybruno 🤔😉 https://t.co/2FWUwtj5XO","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",162,4,12
5,5,1.20E+18,29-11-2019,MollyAMcGrath,"Good morning to everyone waking up in their family homes, bellies &amp; hearts full. Meanwhile, I’m sitting across from 2 girls in the ATL Delta lounge who are wearing pajamas &amp; slippers and talking about hooking up with their exes from HS this week. Wouldn’t wanna be anywhere else😂","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1000,31,16
6,6,1.20E+18,29-11-2019,ashishkjha,"Thread

1/9 Our @bmj_latest paper on the state of the UK National Health Service is out. We examined @NHSuk performance compared to other countries on 79 metrics.

What did we find?

https://t.co/vWj57UiUng","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",497,17,415
7,7,1.20E+18,29-11-2019,indyfromspace,Down a dirty hole in the Egyptian Delta 20 years ago (excavation at Mendes). Greg is and always will be my best archaeological find. https://t.co/4AO572UOHh,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",185,7,5
8,8,1.20E+18,29-11-2019,VictorIsrael_,"My GF once insisted that I must give her money for flight ticket or else she won't visit me. She later confessed that it was her friend that asked her to insist on flight tickets, only to discover that the same girl borrowed money, entered bus from Delta to visit her BF in kano","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",547,32,111
9,9,1.20E+18,29-11-2019,cchukudebelu,"In the next 2 - 3 decades;
1. Western multinational oil and gas companies like Shell and ExxonMobil will leave the Niger Delta.
2. The Niger Delta will be left as the biggest environmental catastrophe on the African continent.
3. Niger Deltans will be left to their fate","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1218,83,774
10,10,1.20E+18,29-11-2019,_Delta_of_Venus,"“If you look for perfection, you’ll never be content.”

— L.Tolstoy “Anna Karenina” https://t.co/LNB6a86hh4","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",175,1,55
11,11,1.20E+18,29-11-2019,JetPhotos,A Thai Airways 787 passes high above Sydney as a Delta 777 is on approach to SYD. https://t.co/luRWAzzmko © Victor Pody https://t.co/7GRpHLAMvZ,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",514,0,54
12,12,1.20E+18,29-11-2019,RobertJohnDavi,This Holiday season watch MAGIC - for the whole family ITS FREE !!from @DELTA_Rescue @LeoGrilloActor and yours truly @RobertJohnDavi we Thank my good friend who loves animals Michael Savage @SavageNation_  for assisting in getting the word out - Blessings to ALL https://t.co/S3hvxx18TX,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",257,8,56
13,13,1.20E+18,29-11-2019,erigganewmoney,Watsapp this nunber 09067308027 or go to genesis cinema warri delta state https://t.co/wje6n0g3Ln,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",348,7,26
14,14,1.20E+18,29-11-2019,_kayblackmon,Get you a Delta and prosper 😌,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",392,3,260
15,15,1.20E+18,29-11-2019,_abrea,If you’re not a Delta or a Nupe why are you even following PYRAMIDS AND DIAMONDS??? That’s the real question.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",270,6,67
16,16,1.20E+18,29-11-2019,tyszal,I’m extremely not thankful for @Delta having this on their website but it not meaning Easton can fly on my lap. $350 later for my two year old to have his own seat (despite the website saying 0-2 can fly on laps) and I’m wondering why I gave this airline my business all year 🥴😔 https://t.co/sTELyNdPV8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",167,10,6
17,17,1.20E+18,28-11-2019,Myles_Bart_,When your mom’s a Delta but you love da K’s.  Happy Thanksgiving🦃 https://t.co/yucvezuHPM,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8159,10,388
